"Story","Title","Result","Date","Stability","Duration (s)"
"New client","New credit application Paraguay","SUCCESS","2023-09-12T09:57:17.9949135-05:00[America/Guayaquil]","0.0","140.44"
"Emma New client JM uat","New credit application Emma JM uat","SUCCESS","2023-09-12T09:20:00.2469481-05:00[America/Guayaquil]","0.0","58.01"
